序列起点笔位置,待识别线段方向,特征元素序号,元素合并方向,特征笔方向,包含笔位置,high,low,起点时间,终点时间
318,向下,2,向下,向上,321,100.41923561486453,87.48609094685861,2026-01-17 04:35:00+00:00,2026-01-17 05:20:00+00:00
318,向下,3,向下,向上,323,112.5703246547549,97.05751816044317,2026-01-17 05:40:00+00:00,2026-01-17 06:30:00+00:00
318,向下,4,向下,向上,323,112.5703246547549,97.05751816044317,2026-01-17 05:40:00+00:00,2026-01-17 06:30:00+00:00
318,向下,5,向下,向上,325,113.2159009304086,87.10681598949975,2026-01-17 08:40:00+00:00,2026-01-17 10:45:00+00:00
318,向下,6,向下,向上,327,102.16163773666598,86.98373467516149,2026-01-17 13:05:00+00:00,2026-01-17 13:45:00+00:00
318,向下,7,向下,向上,325,113.2159009304086,87.10681598949975,2026-01-17 08:40:00+00:00,2026-01-17 10:45:00+00:00
318,向下,8,向下,向上,327,102.16163773666598,86.98373467516149,2026-01-17 13:05:00+00:00,2026-01-17 13:45:00+00:00
318,向下,9,向上,向上,329,112.05270580575004,98.2342234554324,2026-01-17 14:10:00+00:00,2026-01-17 15:00:00+00:00
318,向下,10,向下,向上,327,102.16163773666598,86.98373467516149,2026-01-17 13:05:00+00:00,2026-01-17 13:45:00+00:00
318,向下,11,向下,向上,329,112.05270580575004,98.2342234554324,2026-01-17 14:10:00+00:00,2026-01-17 15:00:00+00:00
318,向下,12,向下,向上,329,112.05270580575004,98.2342234554324,2026-01-17 14:10:00+00:00,2026-01-17 15:00:00+00:00
327,向上,0,向上,向下,328,102.16163773666598,98.2342234554324,2026-01-17 13:45:00+00:00,2026-01-17 14:10:00+00:00
327,向上,1,向上,向下,330,112.05270580575004,87.37235367615632,2026-01-17 15:00:00+00:00,2026-01-17 17:15:00+00:00
327,向上,2,向上,向下,332,112.67814352878682,87.44692479678102,2026-01-17 19:20:00+00:00,2026-01-17 21:20:00+00:00
327,向上,3,向上,向下,330,112.05270580575004,87.37235367615632,2026-01-17 15:00:00+00:00,2026-01-17 17:15:00+00:00
327,向上,4,向上,向下,332,112.67814352878682,87.44692479678102,2026-01-17 19:20:00+00:00,2026-01-17 21:20:00+00:00
327,向上,5,向下,向下,334,112.37340812192816,86.90753177610257,2026-01-17 23:30:00+00:00,2026-01-18 01:35:00+00:00
327,向上,6,向上,向下,332,112.67814352878682,87.44692479678102,2026-01-17 19:20:00+00:00,2026-01-17 21:20:00+00:00
327,向上,7,向上,向下,334,112.37340812192816,86.90753177610257,2026-01-17 23:30:00+00:00,2026-01-18 01:35:00+00:00
327,向上,8,向上,向下,334,112.37340812192816,86.90753177610257,2026-01-17 23:30:00+00:00,2026-01-18 01:35:00+00:00
332,向下,0,向下,向上,333,112.37340812192816,87.44692479678102,2026-01-17 21:20:00+00:00,2026-01-17 23:30:00+00:00
332,向下,1,向下,向上,335,112.21111104953818,86.90753177610257,2026-01-18 01:35:00+00:00,2026-01-18 03:40:00+00:00
332,向下,2,向上,向上,337,112.6038122659458,88.25295231561924,2026-01-18 05:45:00+00:00,2026-01-18 07:55:00+00:00
332,向下,3,向下,向上,335,112.21111104953818,86.90753177610257,2026-01-18 01:35:00+00:00,2026-01-18 03:40:00+00:00
332,向下,4,向下,向上,337,112.6038122659458,88.25295231561924,2026-01-18 05:45:00+00:00,2026-01-18 07:55:00+00:00
332,向下,5,向下,向上,337,112.6038122659458,88.25295231561924,2026-01-18 05:45:00+00:00,2026-01-18 07:55:00+00:00
